City,University,Course,Available,International_Student,Campus,Duration_Years,Annual_Tuition_AUD,Total_Tuition_AUD,CRICOS_Code,Start_Dates,Tuition_Source,Course_Source,Last_Verified
Brisbane,Southern Cross University,Master of Business Administration,Yes,Yes,Brisbane,2,"A$26,000","A$52,000",079662J,June / October,SCU 2026 international course page,SCU official 2026 course page,2026-08-20
Adelaide,Adelaide University,Master of Data Science,Yes,Yes,Adelaide City / Mawson Lakes,2,"A$57,100","A$114,200",115904D,2026 intakes,Adelaide University 2026 international fee,Adelaide University official course page,2026-08-20
Adelaide,Flinders University,Master of Data Science,Yes,Yes,City,1 / 2,"A$42,900","A$42,900 / A$85,800",105120H / 105119A,March / July,Flinders 2026 fee,Flinders official course page,2026-08-20
Adelaide,Flinders University,Master of Information Technology,Yes,Yes,City,2,"A$42,900","A$85,800",038636F,March / July,Flinders 2026 fee,Flinders official course page,2026-08-20
Perth,The University of Western Australia,Master of Data Science,Yes,Yes,Crawley,1.5 / 2,"A$50,700",Cannot establish exact reliable 2026 figure,093310E,Semester 1 / 2,UWA 2026 international annual fee; total depends on pathway,UWA official course page,2026-08-20
Perth,Edith Cowan University,Master of Data Science,Yes,Yes,Joondalup,2,"A$42,400","A$84,800",103286B,2026 intakes,Study Australia 2026 total,ECU official course page / Study Australia,2026-08-20
Perth,The University of Western Australia,Master of Information Technology,Yes,Yes,Crawley,1.5 / 2,"A$50,700",Cannot establish exact reliable 2026 figure,083866G,Semester 1 / 2,UWA 2026 international annual fee; total depends on pathway,UWA official course page,2026-08-20
Perth,Murdoch University,Master of Information Technology,Yes,Yes,Murdoch,2,"A$36,730","A$73,460",057275B,Semester 1 / 2,Murdoch 2026 international fee,Murdoch official course page,2026-08-20
Perth,The University of Western Australia,Master of Business Administration,Yes,Yes,Crawley,16 months,"A$38,000 equivalent","A$60,800",046894K,Trimester 1 / 2 / 3,Study Australia 2026 total,UWA official course information / Study Australia,2026-08-20
Perth,Curtin University,Master of Business Administration,Yes,Yes,Perth City,1.5,"A$42,366 equivalent","A$63,549",074577B,Trimester 1 / 2 / 3,Study Australia 2026 total,Curtin official course page / Study Australia,2026-08-20
Perth,Murdoch University,Master of Business Administration,Yes,Yes,Murdoch,1,"A$58,410","A$58,410",089548F,Trimester 2 / 3,Study Australia 2026 total,Murdoch official course information / Study Australia,2026-08-20
Perth,Edith Cowan University,Master of Business Administration,Yes,Yes,ECU City,2,"A$40,650 equivalent","A$81,300",092814M,2026 intakes,Study Australia 2026 total,ECU official course page / Study Australia,2026-08-20
Perth,University of Notre Dame Australia,Master of Business Administration,Yes,Yes,Fremantle,2,"A$34,356","A$68,712",110608H,January / April / July / October,Notre Dame 2026 international guide,Notre Dame official course page,2026-08-20
Canberra,University of Canberra,Master of Data Science,Yes,Yes,Bruce,2,"A$42,000","A$76,000",099433A,February / August,University of Canberra 2026 international guide,University of Canberra official course page,2026-08-20
Canberra,University of Canberra,Master of Business Administration,Yes,Yes,Bruce,1.5,"A$41,500 equivalent","A$62,250",052826E,February / August,Study Australia 2026 total,University of Canberra official course page / Study Australia,2026-08-20
Darwin,Charles Darwin University,Master of Data Science,Yes,Yes,Danala – Education & Community Precinct,2,"A$36,440","A$72,880",116326C,Semester 1 / 2 / Summer,CDU 2026 international fee schedule,CDU official course information / Study Australia,2026-08-20
Darwin,Charles Darwin University,Master of Business Administration,Yes,Yes,Danala – Education & Community Precinct,1.5,"A$38,192","A$57,288",118254J,2026 intakes,CDU 2026 international fee schedule,CDU official course information,2026-08-20
Gold Coast,Griffith University,Master of Data Science,Yes,Yes,Gold Coast,2,Cannot establish exact reliable 2026 figure,Cannot establish exact reliable 2026 figure,Cannot establish exact reliable 2026 figure,2026 intakes,Griffith exact 2026 international fee/CRICOS campus link not established,Griffith official course page,2026-08-20
Gold Coast,Griffith University,Master of Information Technology,Yes,Yes,Gold Coast,1.5 / 2,Cannot establish exact reliable 2026 figure,Cannot establish exact reliable 2026 figure,083391D,2026 intakes,Griffith exact 2026 international fee not established,Griffith official course page,2026-08-20
Gold Coast,Southern Cross University,Master of Information Technology,Yes,Yes,Gold Coast,2,"A$26,000","A$52,000",117757E,March / June / October,SCU 2026 international course page,SCU official 2026 course page,2026-08-20
Gold Coast,Bond University,Master of Business Administration,Yes,Yes,Gold Coast,16 months,"A$81,430 total","A$81,430",108627A,September 2026,Study Australia 2026 total,Bond official course page / Study Australia,2026-08-20
Gold Coast,Griffith University,Master of Business Administration,Yes,Yes,Gold Coast,Variable,Cannot establish exact reliable 2026 figure,Cannot establish exact reliable 2026 figure,011433F,2026 intakes,Griffith exact 2026 Gold Coast international fee not established,Griffith official course page / Study Australia,2026-08-20
Gold Coast,Southern Cross University,Master of Business Administration,Yes,Yes,Gold Coast,2,"A$26,000","A$52,000",079662J,March / June / October,SCU 2026 international course page,SCU official 2026 course page,2026-08-20
